ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,50
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,8
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.07,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.07,22
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.67,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,25
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5,8
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5,3
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5,0.33
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.66,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,6
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,2.65,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.66,33
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.66,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,50
NEW,C,PC,Credit:Index:CDX:CDXHY,Trade,3.31,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.65,6
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,60
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,3
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,20
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.66,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,40
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,62
CORRECT,C,UC,Credit:Index:CDX:CDXHY,Trade,5,20
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
